Relaxed condition: Temperature,Mass percent Fe,Mass percent Si,Mass percent Al,Mass percent Mn,Temperature [K],Mass percent C
,97.1,0,2.7,0,1373.15,0.2
,96.8,0,2.7,0.3,1373.15,0.2
,96.5,0,2.7,0.6,1373.15,0.2
,96.2,0,2.7,0.9,1373.15,0.2
,95.9,0,2.7,1.2,1373.15,0.2
,95.6,0,2.7,1.5,1373.15,0.2
,95.3,0,2.7,1.8,1373.15,0.2
,95,0,2.7,2.1,1373.15,0.2
,94.7,0,2.7,2.4,1373.15,0.2
,94.4,0,2.7,2.7,1373.15,0.2
,94.1,0,2.7,3,1373.15,0.2
,96.8,0,3,0,1373.15,0.2
,96.5,0,3,0.3,1373.15,0.2
,96.2,0,3,0.6,1373.15,0.2
,95.9,0,3,0.9,1373.15,0.2
,95.6,0,3,1.2,1373.15,0.2
,95.3,0,3,1.5,1373.15,0.2
,95,0,3,1.8,1373.15,0.2
,94.7,0,3,2.1,1373.15,0.2
,94.4,0,3,2.4,1373.15,0.2
,94.1,0,3,2.7,1373.15,0.2
,93.8,0,3,3,1373.15,0.2
1123.69899,99.5,0.3,0,0,1373.15,0.2
1113.88723,99.2,0.3,0,0.3,1373.15,0.2
1104.42144,98.9,0.3,0,0.6,1373.15,0.2
1095.28106,98.6,0.3,0,0.9,1373.15,0.2
1086.44753,98.3,0.3,0,1.2,1373.15,0.2
1783.97862,98,0.3,0,1.5,1373.15,0.2
1785.93679,97.7,0.3,0,1.8,1373.15,0.2
1787.76795,97.4,0.3,0,2.1,1373.15,0.2
1789.48021,97.1,0.3,0,2.4,1373.15,0.2
1791.08094,96.8,0.3,0,2.7,1373.15,0.2
1792.57684,96.5,0.3,0,3,1373.15,0.2
1161.03855,99.2,0.3,0.3,0,1373.15,0.2
1150.32265,98.9,0.3,0.3,0.3,1373.15,0.2
1140.00121,98.6,0.3,0.3,0.6,1373.15,0.2
1130.04838,98.3,0.3,0.3,0.9,1373.15,0.2
1120.44106,98,0.3,0.3,1.2,1373.15,0.2
1111.15845,97.7,0.3,0.3,1.5,1373.15,0.2
1102.18179,97.4,0.3,0.3,1.8,1373.15,0.2
1093.49409,97.1,0.3,0.3,2.1,1373.15,0.2
1774.98333,96.8,0.3,0.3,2.4,1373.15,0.2
1776.5316,96.5,0.3,0.3,2.7,1373.15,0.2
1777.96822,96.2,0.3,0.3,3,1373.15,0.2
1198.12075,98.9,0.3,0.6,0,1373.15,0.2
1186.21279,98.6,0.3,0.6,0.3,1373.15,0.2
1174.77171,98.3,0.3,0.6,0.6,1373.15,0.2
1163.763,98,0.3,0.6,0.9,1373.15,0.2
1153.15631,97.7,0.3,0.6,1.2,1373.15,0.2
1142.9247,97.4,0.3,0.6,1.5,1373.15,0.2
1133.04415,97.1,0.3,0.6,1.8,1373.15,0.2
1123.49314,96.8,0.3,0.6,2.1,1373.15,0.2
1114.25227,96.5,0.3,0.6,2.4,1373.15,0.2
1105.30409,96.2,0.3,0.6,2.7,1373.15,0.2
1096.63272,95.9,0.3,0.6,3,1373.15,0.2
1237.55829,98.6,0.3,0.9,0,1373.15,0.2
1224.05547,98.3,0.3,0.9,0.3,1373.15,0.2
1211.14272,98,0.3,0.9,0.6,1373.15,0.2
1198.76783,97.7,0.3,0.9,0.9,1373.15,0.2
1186.88623,97.4,0.3,0.9,1.2,1373.15,0.2
1175.45949,97.1,0.3,0.9,1.5,1373.15,0.2
1164.45409,96.8,0.3,0.9,1.8,1373.15,0.2
1153.84057,96.5,0.3,0.9,2.1,1373.15,0.2
1143.59284,96.2,0.3,0.9,2.4,1373.15,0.2
1133.68766,95.9,0.3,0.9,2.7,1373.15,0.2
1124.10435,95.6,0.3,0.9,3,1373.15,0.2
1282.59681,98.3,0.3,1.2,0,1373.15,0.2
1266.69882,98,0.3,1.2,0.3,1373.15,0.2
1251.65063,97.7,0.3,1.2,0.6,1373.15,0.2
1237.35041,97.4,0.3,1.2,0.9,1373.15,0.2
1223.71687,97.1,0.3,1.2,1.2,1373.15,0.2
1210.68361,96.8,0.3,1.2,1.5,1373.15,0.2
1198.19538,96.5,0.3,1.2,1.8,1373.15,0.2
1186.20548,96.2,0.3,1.2,2.1,1373.15,0.2
1174.67391,95.9,0.3,1.2,2.4,1373.15,0.2
1163.56605,95.6,0.3,1.2,2.7,1373.15,0.2
1152.85163,95.3,0.3,1.2,3,1373.15,0.2
1340.57901,98,0.3,1.5,0,1373.15,0.2
1319.92728,97.7,0.3,1.5,0.3,1373.15,0.2
1300.98873,97.4,0.3,1.5,0.6,1373.15,0.2
1283.40765,97.1,0.3,1.5,0.9,1373.15,0.2
1266.94497,96.8,0.3,1.5,1.2,1373.15,0.2
1251.4299,96.5,0.3,1.5,1.5,1373.15,0.2
1236.7347,96.2,0.3,1.5,1.8,1373.15,0.2
1222.76043,95.9,0.3,1.5,2.1,1373.15,0.2
1209.42827,95.6,0.3,1.5,2.4,1373.15,0.2
1196.67397,95.3,0.3,1.5,2.7,1373.15,0.2
1184.44418,95,0.3,1.5,3,1373.15,0.2
,97.7,0.3,1.8,0,1373.15,0.2
1410.91548,97.4,0.3,1.8,0.3,1373.15,0.2
1375.77137,97.1,0.3,1.8,0.6,1373.15,0.2
1348.45383,96.8,0.3,1.8,0.9,1373.15,0.2
1325.09039,96.5,0.3,1.8,1.2,1373.15,0.2
1304.27732,96.2,0.3,1.8,1.5,1373.15,0.2
1285.3112,95.9,0.3,1.8,1.8,1373.15,0.2
1267.7774,95.6,0.3,1.8,2.1,1373.15,0.2
1251.40565,95.3,0.3,1.8,2.4,1373.15,0.2
1236.00721,95,0.3,1.8,2.7,1373.15,0.2
1221.44341,94.7,0.3,1.8,3,1373.15,0.2
,97.4,0.3,2.1,0,1373.15,0.2
,97.1,0.3,2.1,0.3,1373.15,0.2
,96.8,0.3,2.1,0.6,1373.15,0.2
,96.5,0.3,2.1,0.9,1373.15,0.2
,96.2,0.3,2.1,1.2,1373.15,0.2
1415.01809,95.9,0.3,2.1,1.5,1373.15,0.2
1366.54781,95.6,0.3,2.1,1.8,1373.15,0.2
