A3	Mass percent Fe	Mass percent Si	Mass percent Al	Mass percent Mn	Temperature [°C]	Mass percent C
	97.40000	0.00000	2.10000	0.30000	800.00000	0.20000
	97.10000	0.00000	2.10000	0.60000	800.00000	0.20000
	96.80000	0.00000	2.10000	0.90000	800.00000	0.20000
1110.39006	96.50000	0.00000	2.10000	1.20000	800.00000	0.20000
1078.87523	96.20000	0.00000	2.10000	1.50000	800.00000	0.20000
1053.54231	95.90000	0.00000	2.10000	1.80000	800.00000	0.20000
1031.57105	95.60000	0.00000	2.10000	2.10000	800.00000	0.20000
1011.83432	95.30000	0.00000	2.10000	2.40000	800.00000	0.20000
993.74287	95.00000	0.00000	2.10000	2.70000	800.00000	0.20000
976.94113	94.70000	0.00000	2.10000	3.00000	800.00000	0.20000
	97.40000	0.00000	2.40000	0.00000	800.00000	0.20000
	97.10000	0.00000	2.40000	0.30000	800.00000	0.20000
	96.80000	0.00000	2.40000	0.60000	800.00000	0.20000
	96.50000	0.00000	2.40000	0.90000	800.00000	0.20000
	96.20000	0.00000	2.40000	1.20000	800.00000	0.20000
	95.90000	0.00000	2.40000	1.50000	800.00000	0.20000
	95.60000	0.00000	2.40000	1.80000	800.00000	0.20000
	95.30000	0.00000	2.40000	2.10000	800.00000	0.20000
1123.87072	95.00000	0.00000	2.40000	2.40000	800.00000	0.20000
1073.55781	94.70000	0.00000	2.40000	2.70000	800.00000	0.20000
1043.35131	94.40000	0.00000	2.40000	3.00000	800.00000	0.20000
	97.10000	0.00000	2.70000	0.00000	800.00000	0.20000
	96.80000	0.00000	2.70000	0.30000	800.00000	0.20000
	96.50000	0.00000	2.70000	0.60000	800.00000	0.20000
	96.20000	0.00000	2.70000	0.90000	800.00000	0.20000
	95.90000	0.00000	2.70000	1.20000	800.00000	0.20000
	95.60000	0.00000	2.70000	1.50000	800.00000	0.20000
	95.30000	0.00000	2.70000	1.80000	800.00000	0.20000
	95.00000	0.00000	2.70000	2.10000	800.00000	0.20000
	94.70000	0.00000	2.70000	2.40000	800.00000	0.20000
	94.40000	0.00000	2.70000	2.70000	800.00000	0.20000
	94.10000	0.00000	2.70000	3.00000	800.00000	0.20000
	96.80000	0.00000	3.00000	0.00000	800.00000	0.20000
	96.50000	0.00000	3.00000	0.30000	800.00000	0.20000
	96.20000	0.00000	3.00000	0.60000	800.00000	0.20000
	95.90000	0.00000	3.00000	0.90000	800.00000	0.20000
	95.60000	0.00000	3.00000	1.20000	800.00000	0.20000
	95.30000	0.00000	3.00000	1.50000	800.00000	0.20000
	95.00000	0.00000	3.00000	1.80000	800.00000	0.20000
	94.70000	0.00000	3.00000	2.10000	800.00000	0.20000
	94.40000	0.00000	3.00000	2.40000	800.00000	0.20000
	94.10000	0.00000	3.00000	2.70000	800.00000	0.20000
	93.80000	0.00000	3.00000	3.00000	800.00000	0.20000
850.54899	99.50000	0.30000	0.00000	0.00000	800.00000	0.20000
840.73723	99.20000	0.30000	0.00000	0.30000	800.00000	0.20000
831.27144	98.90000	0.30000	0.00000	0.60000	800.00000	0.20000
822.13106	98.60000	0.30000	0.00000	0.90000	800.00000	0.20000
813.29753	98.30000	0.30000	0.00000	1.20000	800.00000	0.20000
804.75402	98.00000	0.30000	0.00000	1.50000	800.00000	0.20000
796.48526	97.70000	0.30000	0.00000	1.80000	800.00000	0.20000
788.47736	97.40000	0.30000	0.00000	2.10000	800.00000	0.20000
780.71769	97.10000	0.30000	0.00000	2.40000	800.00000	0.20000
773.19466	96.80000	0.30000	0.00000	2.70000	800.00000	0.20000
765.89764	96.50000	0.30000	0.00000	3.00000	800.00000	0.20000
887.88855	99.20000	0.30000	0.30000	0.00000	800.00000	0.20000
877.17265	98.90000	0.30000	0.30000	0.30000	800.00000	0.20000
866.85121	98.60000	0.30000	0.30000	0.60000	800.00000	0.20000
856.89838	98.30000	0.30000	0.30000	0.90000	800.00000	0.20000
847.29106	98.00000	0.30000	0.30000	1.20000	800.00000	0.20000
838.00845	97.70000	0.30000	0.30000	1.50000	800.00000	0.20000
829.03179	97.40000	0.30000	0.30000	1.80000	800.00000	0.20000
820.34409	97.10000	0.30000	0.30000	2.10000	800.00000	0.20000
811.92994	96.80000	0.30000	0.30000	2.40000	800.00000	0.20000
803.77533	96.50000	0.30000	0.30000	2.70000	800.00000	0.20000
795.86739	96.20000	0.30000	0.30000	3.00000	800.00000	0.20000
924.97075	98.90000	0.30000	0.60000	0.00000	800.00000	0.20000
913.06279	98.60000	0.30000	0.60000	0.30000	800.00000	0.20000
901.62171	98.30000	0.30000	0.60000	0.60000	800.00000	0.20000
890.61300	98.00000	0.30000	0.60000	0.90000	800.00000	0.20000
880.00631	97.70000	0.30000	0.60000	1.20000	800.00000	0.20000
869.77470	97.40000	0.30000	0.60000	1.50000	800.00000	0.20000
859.89415	97.10000	0.30000	0.60000	1.80000	800.00000	0.20000
850.34314	96.80000	0.30000	0.60000	2.10000	800.00000	0.20000
841.10227	96.50000	0.30000	0.60000	2.40000	800.00000	0.20000
832.15409	96.20000	0.30000	0.60000	2.70000	800.00000	0.20000
823.48272	95.90000	0.30000	0.60000	3.00000	800.00000	0.20000
964.40829	98.60000	0.30000	0.90000	0.00000	800.00000	0.20000
950.90547	98.30000	0.30000	0.90000	0.30000	800.00000	0.20000
937.99272	98.00000	0.30000	0.90000	0.60000	800.00000	0.20000
925.61783	97.70000	0.30000	0.90000	0.90000	800.00000	0.20000
913.73623	97.40000	0.30000	0.90000	1.20000	800.00000	0.20000
902.30949	97.10000	0.30000	0.90000	1.50000	800.00000	0.20000
891.30409	96.80000	0.30000	0.90000	1.80000	800.00000	0.20000
880.69057	96.50000	0.30000	0.90000	2.10000	800.00000	0.20000
870.44284	96.20000	0.30000	0.90000	2.40000	800.00000	0.20000
860.53766	95.90000	0.30000	0.90000	2.70000	800.00000	0.20000
850.95435	95.60000	0.30000	0.90000	3.00000	800.00000	0.20000
1009.44681	98.30000	0.30000	1.20000	0.00000	800.00000	0.20000
993.54882	98.00000	0.30000	1.20000	0.30000	800.00000	0.20000
978.50063	97.70000	0.30000	1.20000	0.60000	800.00000	0.20000
964.20041	97.40000	0.30000	1.20000	0.90000	800.00000	0.20000
950.56687	97.10000	0.30000	1.20000	1.20000	800.00000	0.20000
937.53361	96.80000	0.30000	1.20000	1.50000	800.00000	0.20000
925.04538	96.50000	0.30000	1.20000	1.80000	800.00000	0.20000
913.05548	96.20000	0.30000	1.20000	2.10000	800.00000	0.20000
901.52391	95.90000	0.30000	1.20000	2.40000	800.00000	0.20000
890.41605	95.60000	0.30000	1.20000	2.70000	800.00000	0.20000
879.70163	95.30000	0.30000	1.20000	3.00000	800.00000	0.20000
1067.42901	98.00000	0.30000	1.50000	0.00000	800.00000	0.20000
