A3,Mass percent Fe,Mass percent Si,Mass percent Al,Mass percent Mn,Temperature [°C]
803.77533,96.5,0.3,0.3,2.7,800
795.86739,96.2,0.3,0.3,3,800
924.97075,98.9,0.3,0.6,0,800
913.06279,98.6,0.3,0.6,0.3,800
901.62171,98.3,0.3,0.6,0.6,800
890.613,98,0.3,0.6,0.9,800
880.00631,97.7,0.3,0.6,1.2,800
869.7747,97.4,0.3,0.6,1.5,800
859.89415,97.1,0.3,0.6,1.8,800
850.34314,96.8,0.3,0.6,2.1,800
841.10227,96.5,0.3,0.6,2.4,800
832.15409,96.2,0.3,0.6,2.7,800
823.48272,95.9,0.3,0.6,3,800
964.40829,98.6,0.3,0.9,0,800
950.90547,98.3,0.3,0.9,0.3,800
937.99272,98,0.3,0.9,0.6,800
925.61783,97.7,0.3,0.9,0.9,800
913.73623,97.4,0.3,0.9,1.2,800
902.30949,97.1,0.3,0.9,1.5,800
891.30409,96.8,0.3,0.9,1.8,800
880.69057,96.5,0.3,0.9,2.1,800
870.44284,96.2,0.3,0.9,2.4,800
860.53766,95.9,0.3,0.9,2.7,800
850.95435,95.6,0.3,0.9,3,800
1009.44681,98.3,0.3,1.2,0,800
993.54882,98,0.3,1.2,0.3,800
978.50063,97.7,0.3,1.2,0.6,800
964.20041,97.4,0.3,1.2,0.9,800
950.56687,97.1,0.3,1.2,1.2,800
937.53361,96.8,0.3,1.2,1.5,800
925.04538,96.5,0.3,1.2,1.8,800
913.05548,96.2,0.3,1.2,2.1,800
901.52391,95.9,0.3,1.2,2.4,800
890.41605,95.6,0.3,1.2,2.7,800
879.70163,95.3,0.3,1.2,3,800
1067.42901,98,0.3,1.5,0,800
1046.77728,97.7,0.3,1.5,0.3,800
1027.83873,97.4,0.3,1.5,0.6,800
1010.25765,97.1,0.3,1.5,0.9,800
993.79497,96.8,0.3,1.5,1.2,800
978.2799,96.5,0.3,1.5,1.5,800
963.5847,96.2,0.3,1.5,1.8,800
949.61043,95.9,0.3,1.5,2.1,800
936.27827,95.6,0.3,1.5,2.4,800
923.52397,95.3,0.3,1.5,2.7,800
911.29418,95,0.3,1.5,3,800
,97.7,0.3,1.8,0,800
,97.4,0.3,1.8,0.3,800
1102.62137,97.1,0.3,1.8,0.6,800
1075.30383,96.8,0.3,1.8,0.9,800
1051.94039,96.5,0.3,1.8,1.2,800
1031.12732,96.2,0.3,1.8,1.5,800
1012.1612,95.9,0.3,1.8,1.8,800
994.6274,95.6,0.3,1.8,2.1,800
978.25565,95.3,0.3,1.8,2.4,800
962.85721,95,0.3,1.8,2.7,800
948.29341,94.7,0.3,1.8,3,800
,97.4,0.3,2.1,0,800
,97.1,0.3,2.1,0.3,800
,96.8,0.3,2.1,0.6,800
,96.5,0.3,2.1,0.9,800
,96.2,0.3,2.1,1.2,800
,95.9,0.3,2.1,1.5,800
1093.39781,95.6,0.3,2.1,1.8,800
1062.75621,95.3,0.3,2.1,2.1,800
1037.86133,95,0.3,2.1,2.4,800
1016.21192,94.7,0.3,2.1,2.7,800
996.75674,94.4,0.3,2.1,3,800
,97.1,0.3,2.4,0,800
,96.8,0.3,2.4,0.3,800
,96.5,0.3,2.4,0.6,800
,96.2,0.3,2.4,0.9,800
,95.9,0.3,2.4,1.2,800
,95.6,0.3,2.4,1.5,800
,95.3,0.3,2.4,1.8,800
,95,0.3,2.4,2.1,800
,94.7,0.3,2.4,2.4,800
,94.4,0.3,2.4,2.7,800
1092.96393,94.1,0.3,2.4,3,800
,96.8,0.3,2.7,0,800
,96.5,0.3,2.7,0.3,800
,96.2,0.3,2.7,0.6,800
,95.9,0.3,2.7,0.9,800
,95.6,0.3,2.7,1.2,800
,95.3,0.3,2.7,1.5,800
,95,0.3,2.7,1.8,800
,94.7,0.3,2.7,2.1,800
,94.4,0.3,2.7,2.4,800
,94.1,0.3,2.7,2.7,800
,93.8,0.3,2.7,3,800
,96.5,0.3,3,0,800
,96.2,0.3,3,0.3,800
,95.9,0.3,3,0.6,800
,95.6,0.3,3,0.9,800
,95.3,0.3,3,1.2,800
,95,0.3,3,1.5,800
,94.7,0.3,3,1.8,800
,94.4,0.3,3,2.1,800
,94.1,0.3,3,2.4,800
,93.8,0.3,3,2.7,800
,93.5,0.3,3,3,800
864.94291,99.2,0.6,0,0,800
854.12305,98.9,0.6,0,0.3,800
843.72444,98.6,0.6,0,0.6,800
833.71868,98.3,0.6,0,0.9,800
824.08039,98,0.6,0,1.2,800
814.78676,97.7,0.6,0,1.5,800
805.81726,97.4,0.6,0,1.8,800
797.15334,97.1,0.6,0,2.1,800
788.77822,96.8,0.6,0,2.4,800
780.6767,96.5,0.6,0,2.7,800
772.83486,96.2,0.6,0,3,800
902.67429,98.9,0.6,0.3,0,800
890.86764,98.6,0.6,0.3,0.3,800
879.54906,98.3,0.6,0.3,0.6,800
868.68208,98,0.6,0.3,0.9,800
858.23446,97.7,0.6,0.3,1.2,800
848.17758,97.4,0.6,0.3,1.5,800
838.48584,97.1,0.6,0.3,1.8,800
829.13626,96.8,0.6,0.3,2.1,800
820.10816,96.5,0.6,0.3,2.4,800
811.38293,96.2,0.6,0.3,2.7,800
802.94357,95.9,0.6,0.3,3,800
941.2391,98.6,0.6,0.6,0,800
928.07586,98.3,0.6,0.6,0.3,800
915.50295,98,0.6,0.6,0.6,800
903.46965,97.7,0.6,0.6,0.9,800
891.93215,97.4,0.6,0.6,1.2,800
880.85227,97.1,0.6,0.6,1.5,800
870.19646,96.8,0.6,0.6,1.8,800
859.93498,96.5,0.6,0.6,2.1,800
850.04138,96.2,0.6,0.6,2.4,800
840.49198,95.9,0.6,0.6,2.7,800
831.26561,95.6,0.6,0.6,3,800
983.35114,98.3,0.6,0.9,0,800
968.25868,98,0.6,0.9,0.3,800
953.94317,97.7,0.6,0.9,0.6,800
940.32162,97.4,0.6,0.9,0.9,800
927.32557,97.1,0.6,0.9,1.2,800
914.89757,96.8,0.6,0.9,1.5,800
902.98867,96.5,0.6,0.9,1.8,800
891.55671,96.2,0.6,0.9,2.1,800
880.56496,95.9,0.6,0.9,2.4,800
869.98121,95.6,0.6,0.9,2.7,800
859.777,95.3,0.6,0.9,3,800
1033.38732,98,0.6,1.2,0,800
1015.08321,97.7,0.6,1.2,0.3,800
998.01112,97.4,0.6,1.2,0.6,800
981.97945,97.1,0.6,1.2,0.9,800
966.84533,96.8,0.6,1.2,1.2,800
952.49815,96.5,0.6,1.2,1.5,800
938.84982,96.2,0.6,1.2,1.8,800
925.82847,95.9,0.6,1.2,2.1,800
913.37436,95.6,0.6,1.2,2.4,800
901.43708,95.3,0.6,1.2,2.7,800
889.97346,95,0.6,1.2,3,800
1104.86133,97.7,0.6,1.5,0,800
1078.1126,97.4,0.6,1.5,0.3,800
1054.89745,97.1,0.6,1.5,0.6,800
1034.07825,96.8,0.6,1.5,0.9,800
1015.04511,96.5,0.6,1.5,1.2,800
997.42329,96.2,0.6,1.5,1.5,800
980.9613,95.9,0.6,1.5,1.8,800
965.47953,95.6,0.6,1.5,2.1,800
950.84368,95.3,0.6,1.5,2.4,800
936.94966,95,0.6,1.5,2.7,800
923.71454,94.7,0.6,1.5,3,800
,97.4,0.6,1.8,0,800
,97.1,0.6,1.8,0.3,800
,96.8,0.6,1.8,0.6,800
1122.15348,96.5,0.6,1.8,0.9,800
1087.66007,96.2,0.6,1.8,1.2,800
1060.59768,95.9,0.6,1.8,1.5,800
1037.4112,95.6,0.6,1.8,1.8,800
1016.75717,95.3,0.6,1.8,2.1,800
997.94939,95,0.6,1.8,2.4,800
980.57853,94.7,0.6,1.8,2.7,800
964.37556,94.4,0.6,1.8,3,800
,97.1,0.6,2.1,0,800
,96.8,0.6,2.1,0.3,800
,96.5,0.6,2.1,0.6,800
,96.2,0.6,2.1,0.9,800
,95.9,0.6,2.1,1.2,800
,95.6,0.6,2.1,1.5,800
,95.3,0.6,2.1,1.8,800
1116.61191,95,0.6,2.1,2.1,800
1074.78622,94.7,0.6,2.1,2.4,800
1045.60788,94.4,0.6,2.1,2.7,800
1021.48899,94.1,0.6,2.1,3,800
,96.8,0.6,2.4,0,800
,96.5,0.6,2.4,0.3,800
,96.2,0.6,2.4,0.6,800
,95.9,0.6,2.4,0.9,800
,95.6,0.6,2.4,1.2,800
,95.3,0.6,2.4,1.5,800
,95,0.6,2.4,1.8,800
,94.7,0.6,2.4,2.1,800
,94.4,0.6,2.4,2.4,800
,94.1,0.6,2.4,2.7,800
,93.8,0.6,2.4,3,800
,96.5,0.6,2.7,0,800
,96.2,0.6,2.7,0.3,800
,95.9,0.6,2.7,0.6,800
,95.6,0.6,2.7,0.9,800
,95.3,0.6,2.7,1.2,800
,95,0.6,2.7,1.5,800
,94.7,0.6,2.7,1.8,800
,94.4,0.6,2.7,2.1,800
,94.1,0.6,2.7,2.4,800
,93.8,0.6,2.7,2.7,800
,93.5,0.6,2.7,3,800
,96.2,0.6,3,0,800
,95.9,0.6,3,0.3,800
,95.6,0.6,3,0.6,800
,95.3,0.6,3,0.9,800
,95,0.6,3,1.2,800
,94.7,0.6,3,1.5,800
,94.4,0.6,3,1.8,800
,94.1,0.6,3,2.1,800
,93.8,0.6,3,2.4,800
,93.5,0.6,3,2.7,800
,93.2,0.6,3,3,800
879.94209,98.9,0.9,0,0,800
868.10431,98.6,0.9,0,0.3,800
856.7646,98.3,0.9,0,0.6,800
845.88556,98,0.9,0,0.9,800
835.43418,97.7,0.9,0,1.2,800
825.38114,97.4,0.9,0,1.5,800
815.70029,97.1,0.9,0,1.8,800
806.36821,96.8,0.9,0,2.1,800
797.36383,96.5,0.9,0,2.4,800
788.66831,96.2,0.9,0,2.7,800
780.26441,95.9,0.9,0,3,800
918.58468,98.6,0.9,0.3,0,800
905.61629,98.3,0.9,0.3,0.3,800
893.23752,98,0.9,0.3,0.6,800
881.39868,97.7,0.9,0.3,0.9,800
870.05666,97.4,0.9,0.3,1.2,800
859.17368,97.1,0.9,0.3,1.5,800
848.71645,96.8,0.9,0.3,1.8,800
838.65538,96.5,0.9,0.3,2.1,800
828.96411,96.2,0.9,0.3,2.4,800
819.61907,95.9,0.9,0.3,2.7,800
810.59906,95.6,0.9,0.3,3,800
959.17002,98.3,0.9,0.6,0,800
944.59554,98,0.9,0.6,0.3,800
930.75807,97.7,0.9,0.6,0.6,800
917.58419,97.4,0.9,0.6,0.9,800
905.0122,97.1,0.9,0.6,1.2,800
892.98949,96.8,0.9,0.6,1.5,800
881.47068,96.5,0.9,0.6,1.8,800
870.41624,96.2,0.9,0.6,2.1,800
859.79145,95.9,0.9,0.6,2.4,800
849.56563,95.6,0.9,0.6,2.7,800
839.71159,95.3,0.9,0.6,3,800
1004.88794,98,0.9,0.9,0,800
987.86624,97.7,0.9,0.9,0.3,800
971.87815,97.4,0.9,0.9,0.6,800
956.78866,97.1,0.9,0.9,0.9,800
